time, Quad.Est.E.Pos, Quad.Est.S.Z
2.490002,0.167664,0.344337
2.495002,0.168251,0.344522
2.500001,0.168677,0.344645
2.505001,0.162958,0.343528
2.510000,0.163369,0.343641
2.515000,0.163770,0.343813
2.520000,0.163969,0.343928
2.524999,0.164361,0.344101
2.529999,0.164704,0.344217
2.534999,0.165090,0.344391
2.539998,0.165341,0.344508
2.544998,0.165765,0.344684
2.549998,0.166044,0.344802
2.554997,0.166489,0.344979
2.559997,0.166787,0.345098
2.564996,0.167243,0.345277
2.569996,0.167455,0.345397
2.574996,0.167868,0.345578
2.579995,0.168363,0.345699
2.584995,0.168815,0.345881
2.589995,0.169098,0.346003
2.594994,0.169561,0.346186
2.599994,0.169836,0.346309
2.604994,0.169012,0.345195
2.609993,0.169356,0.345309
2.614993,0.169940,0.345480
2.619992,0.170320,0.345594
2.624992,0.170842,0.345766
2.629992,0.171121,0.345882
2.634991,0.171642,0.346056
2.639991,0.171971,0.346172
2.644991,0.172493,0.346347
2.649990,0.172766,0.346465
2.654990,0.173204,0.346641
2.659990,0.173640,0.346760
2.664989,0.174127,0.346938
2.669989,0.174313,0.347057
2.674989,0.174759,0.347237
2.679988,0.175037,0.347357
2.684988,0.175453,0.347539
2.689987,0.175692,0.347660
2.694987,0.176106,0.347843
2.699987,0.176122,0.347966
2.704986,0.155705,0.346855
2.709986,0.156065,0.346968
2.714986,0.156506,0.347139
2.719985,0.156841,0.347252
2.724985,0.157294,0.347424
2.729985,0.157538,0.347539
2.734984,0.157974,0.347712
2.739984,0.158266,0.347828
2.744983,0.158717,0.348002
2.749983,0.159007,0.348119
2.754983,0.159446,0.348295
2.759982,0.159695,0.348413
2.764982,0.160086,0.348590
2.769982,0.160219,0.348709
2.774981,0.160583,0.348888
2.779981,0.160910,0.349008
2.784981,0.161256,0.349189
2.789980,0.161935,0.349310
2.794980,0.162358,0.349492
2.799979,0.162488,0.349614
2.804979,0.196976,0.348508
2.809979,0.197460,0.348620
2.814978,0.197921,0.348789
2.819978,0.198088,0.348903
2.824978,0.198613,0.349074
2.829977,0.199021,0.349188
2.834977,0.199555,0.349361
2.839977,0.199935,0.349476
2.844976,0.200442,0.349650
2.849976,0.200789,0.349766
2.854975,0.201332,0.349941
2.859975,0.201738,0.350059
2.864975,0.202343,0.350235
2.869974,0.202766,0.350354
2.874974,0.203341,0.350532
2.879974,0.203735,0.350651
2.884973,0.204314,0.350831
2.889973,0.204828,0.350952
2.894973,0.205432,0.351133
2.899972,0.205861,0.351254
2.904972,0.163439,0.350152
2.909971,0.163602,0.350264
2.914971,0.163679,0.350433
2.919971,0.163673,0.350546
2.924970,0.163739,0.350716
2.929970,0.163724,0.350830
2.934970,0.163820,0.351001
2.939969,0.163879,0.351116
2.944969,0.164023,0.351289
2.949969,0.164161,0.351405
2.954968,0.164338,0.351580
2.959968,0.164441,0.351696
2.964967,0.164627,0.351872
2.969967,0.164757,0.351990
2.974967,0.164942,0.352168
2.979966,0.165068,0.352287
2.984966,0.165232,0.352466
2.989966,0.165309,0.352586
2.994965,0.165520,0.352766
2.999965,0.165783,0.352887
3.004965,0.134111,0.351789
3.009964,0.134004,0.351900
3.014964,0.133868,0.352068
3.019964,0.133638,0.352181
3.024963,0.133575,0.352350
3.029963,0.133627,0.352464
3.034962,0.133535,0.352634
3.039962,0.133467,0.352749
3.044962,0.133408,0.352921
3.049961,0.133380,0.353037
3.054961,0.133350,0.353210
3.059961,0.133288,0.353327
3.064960,0.133261,0.353502
3.069960,0.133312,0.353619
3.074960,0.133327,0.353796
3.079959,0.133383,0.353914
3.084959,0.133429,0.354093
3.089958,0.133582,0.354212
3.094958,0.133631,0.354392
3.099958,0.133639,0.354512
3.104957,0.103896,0.353418
3.109957,0.103944,0.353529
3.114957,0.103798,0.353697
3.119956,0.103793,0.353809
3.124956,0.103613,0.353977
3.129956,0.103502,0.354090
3.134955,0.103330,0.354260
3.139955,0.103203,0.354374
3.144954,0.103026,0.354546
3.149954,0.102908,0.354661
3.154954,0.102720,0.354834
3.159953,0.102656,0.354950
3.164953,0.102497,0.355124
3.169953,0.102526,0.355241
3.174952,0.102426,0.355417
3.179952,0.102324,0.355535
3.184952,0.102234,0.355713
3.189951,0.101979,0.355831
3.194951,0.101843,0.356010
3.199950,0.101755,0.356130
3.204950,0.096391,0.355040
3.209950,0.096352,0.355151
3.214949,0.096183,0.355318
3.219949,0.096139,0.355429
3.224949,0.095943,0.355597
3.229948,0.095827,0.355710
3.234948,0.095630,0.355879
3.239948,0.095500,0.355992
3.244947,0.095290,0.356163
3.249947,0.095173,0.356278
3.254946,0.095008,0.356450
3.259946,0.094953,0.356565
3.264946,0.094822,0.356739
3.269945,0.094727,0.356856
3.274945,0.094609,0.357031
3.279945,0.094571,0.357148
3.284944,0.094470,0.357325
3.289944,0.094431,0.357443
3.294944,0.094326,0.357622
3.299943,0.094074,0.357741
3.304943,0.071956,0.356655
3.309942,0.071759,0.356765
3.314942,0.071365,0.356931
3.319942,0.071090,0.357042
3.324941,0.070704,0.357210
3.329941,0.070386,0.357322
3.334941,0.070041,0.357490
3.339940,0.069826,0.357603
3.344940,0.069493,0.357773
3.349940,0.069289,0.357887
3.354939,0.068982,0.358059
3.359939,0.068735,0.358174
3.364938,0.068415,0.358347
3.369938,0.068201,0.358463
3.374938,0.067870,0.358637
3.379937,0.067556,0.358754
3.384937,0.067195,0.358930
3.389937,0.067079,0.359048
3.394936,0.066725,0.359226
3.399936,0.066469,0.359344
3.404936,0.085013,0.358263
3.409935,0.085374,0.358372
3.414935,0.085597,0.358538
3.419935,0.085740,0.358648
3.424934,0.085950,0.358815
3.429934,0.086097,0.358926
3.434933,0.086303,0.359094
3.439933,0.086430,0.359207
3.444933,0.086676,0.359376
3.449932,0.086847,0.359490
3.454932,0.087091,0.359661
3.459932,0.087240,0.359775
3.464931,0.087483,0.359947
3.469931,0.087613,0.360063
3.474931,0.087846,0.360237
3.479930,0.088030,0.360353
3.484930,0.088278,0.360528
3.489929,0.088463,0.360646
3.494929,0.088700,0.360822
3.499929,0.088775,0.360941
3.504928,0.092881,0.359863
3.509928,0.093446,0.359972
3.514928,0.094154,0.360137
3.519927,0.094639,0.360247
3.524927,0.095319,0.360413
3.529927,0.095741,0.360524
3.534926,0.096426,0.360691
3.539926,0.096893,0.360803
3.544925,0.097523,0.360972
3.549925,0.097942,0.361085
3.554925,0.098559,0.361255
3.559924,0.098957,0.361369
3.564924,0.099543,0.361541
3.569924,0.099908,0.361655
3.574923,0.100461,0.361829
3.579923,0.100738,0.361944
3.584923,0.101238,0.362119
3.589922,0.101484,0.362236
3.594922,0.101957,0.362412
3.599921,0.102310,0.362530
3.604921,0.117075,0.361456
3.609921,0.116906,0.361565
3.614920,0.116757,0.361729
3.619920,0.116720,0.361839
3.624920,0.116592,0.362004
3.629919,0.116520,0.362114
3.634919,0.116324,0.362281
3.639919,0.116205,0.362393
3.644918,0.116029,0.362561
3.649918,0.115940,0.362673
3.654917,0.115786,0.362843
3.659917,0.115721,0.362956
3.664917,0.115598,0.363127
3.669916,0.115447,0.363241
3.674916,0.115318,0.363414
3.679916,0.115133,0.363529
3.684915,0.114973,0.363703
3.689915,0.114908,0.363819
3.694915,0.114756,0.363995
3.699914,0.114671,0.364112
3.704914,0.087437,0.363043
3.709913,0.087134,0.363151
3.714913,0.086574,0.363314
3.719913,0.086114,0.363423
3.724912,0.085528,0.363588
3.729912,0.085122,0.363698
3.734912,0.084503,0.363864
3.739911,0.084070,0.363975
3.744911,0.083412,0.364142
3.749911,0.082946,0.364254
3.754910,0.082262,0.364423
3.759910,0.081775,0.364536
3.764910,0.081037,0.364706
3.769909,0.080636,0.364820
3.774909,0.079908,0.364992
3.779908,0.079582,0.365107
3.784908,0.078860,0.365280
3.789908,0.078350,0.365396
3.794907,0.077596,0.365570
3.799907,0.077134,0.365687
3.804907,0.090715,0.364622
3.809906,0.090387,0.364730
3.814906,0.089925,0.364892
3.819906,0.089592,0.365001
3.824905,0.089113,0.365165
3.829905,0.088746,0.365275
3.834904,0.088249,0.365440
3.839904,0.087905,0.365550
3.844904,0.087382,0.365717
3.849903,0.087019,0.365829
3.854903,0.086458,0.365997
3.859903,0.086083,0.366109
3.864902,0.085496,0.366279
3.869902,0.085048,0.366392
3.874902,0.084416,0.366563
3.879901,0.084065,0.366678
3.884901,0.083423,0.366850
3.889900,0.082871,0.366965
3.894900,0.082174,0.367139
3.899900,0.081789,0.367256
3.904899,0.089520,0.366195
3.909899,0.089390,0.366302
3.914899,0.089182,0.366464
3.919898,0.089026,0.366572
3.924898,0.088781,0.366735
3.929898,0.088604,0.366844
3.934897,0.088321,0.367009
3.939897,0.088115,0.367119
3.944896,0.087794,0.367285
3.949896,0.087574,0.367396
3.954896,0.087236,0.367563
3.959895,0.087036,0.367676
3.964895,0.086698,0.367844
3.969895,0.086461,0.367957
3.974894,0.086108,0.368128
3.979894,0.085901,0.368242
3.984894,0.085522,0.368413
3.989893,0.085287,0.368528
3.994893,0.084890,0.368701
3.999892,0.084654,0.368817
4.004892,0.082151,0.367760
4.009892,0.081763,0.367867
4.014892,0.081120,0.368028
4.019891,0.080661,0.368136
4.024891,0.079989,0.368299
4.029891,0.079529,0.368407
4.034890,0.078818,0.368571
4.039890,0.078325,0.368681
4.044889,0.077567,0.368846
4.049889,0.077052,0.368957
4.054889,0.076264,0.369124
4.059888,0.075725,0.369235
4.064888,0.074892,0.369403
4.069888,0.074324,0.369516
4.074887,0.073456,0.369685
4.079887,0.072872,0.369799
4.084887,0.071983,0.369970
4.089886,0.071361,0.370084
4.094886,0.070424,0.370257
4.099885,0.069778,0.370372
4.104885,0.100242,0.369319
4.109885,0.100250,0.369426
4.114884,0.100248,0.369586
4.119884,0.100236,0.369694
4.124884,0.100218,0.369855
4.129883,0.100199,0.369964
4.134883,0.100135,0.370127
4.139883,0.100088,0.370236
4.144882,0.099995,0.370401
4.149882,0.099926,0.370511
4.154881,0.099833,0.370677
4.159881,0.099767,0.370788
4.164881,0.099676,0.370956
4.169880,0.099604,0.371068
4.174880,0.099486,0.371237
4.179880,0.099397,0.371350
4.184879,0.099279,0.371520
4.189879,0.099261,0.371634
4.194879,0.099172,0.371806
4.199878,0.099095,0.371921
4.204878,0.094558,0.370872
4.209877,0.094561,0.370978
4.214877,0.094550,0.371138
4.219877,0.094523,0.371245
4.224876,0.094481,0.371406
4.229876,0.094440,0.371514
4.234876,0.094381,0.371676
4.239875,0.094336,0.371785
4.244875,0.094266,0.371949
4.249875,0.094208,0.372059
4.254874,0.094131,0.372224
4.259874,0.094072,0.372335
4.264874,0.093940,0.372501
4.269873,0.093839,0.372613
4.274873,0.093678,0.372781
4.279872,0.093563,0.372894
4.284872,0.093372,0.373063
4.289872,0.093182,0.373177
4.294871,0.092926,0.373348
4.299871,0.092783,0.373463
4.304871,0.086271,0.372418
4.309870,0.085987,0.372524
4.314870,0.085545,0.372683
4.319870,0.085269,0.372789
4.324869,0.084807,0.372950
4.329869,0.084488,0.373057
